PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-22035,TP - DESSERT BAR APPLE CRUMBLE,1,slice,BAKING-RAW INGREDIENTS,25,g
P-22028,TP - DESSERT BAR BUTTER TART,1,slice,BAKING-RAW INGREDIENTS,85,g
P-22045,TP - DESSERT BAR LEMON CRUNCH,1,slice,BAKING-RAW INGREDIENTS,38,g
P-22047,TP - DESSERT BAR MIXED BERRY,1,slice,BAKING-RAW INGREDIENTS,52,g
P-32073,TP - DESSERT BUTTER TART,1,ea,BAKING-RAW INGREDIENTS,63,g
P-22036,TP - DESSERT CAKE BLACK VELVET,1,slice,BAKING-RAW INGREDIENTS,109,g
P-22031,TP - DESSERT CAKE BROWNIE BOMB,1,slice,BAKING-RAW INGREDIENTS,137,g
P-22043,TP - DESSERT CAKE CHEESECAKE ,1,slice,BAKING-RAW INGREDIENTS,125,g
P-22046,TP - DESSERT CAKE MAPLE CHOCO ,1,slice,BAKING-RAW INGREDIENTS,109,g
P-22034,TP - DESSERT CAKE ORANGE CREAM,1,slice,BAKING-RAW INGREDIENTS,118,g
P-22040,TP - DESSERT CAKE TRIPLE CHOCO,1,slice,BAKING-RAW INGREDIENTS,109,g
P-22044,TP - DESSERT CAKE TRIPLE TIGER,1,slice,BAKING-RAW INGREDIENTS,174,g
P-22041,TP - DESSERT CAKE VANILLA BEAN,1,slice,BAKING-RAW INGREDIENTS,67,g
P-22050,TP - DESSERT ECLAIR CHOCOLATE,1,ea,BAKING-RAW INGREDIENTS,102,g
P-22308,TP - DESSERT JELLO ASST,60,PTN,BAKED GOODS,10680,g
P-22051,TP - DESSERT PIE APPLE,1,slice,BAKING-RAW INGREDIENTS,125,g
P-22052,TP - DESSERT PIE BLUEBERRY,1,slice,BAKING-RAW INGREDIENTS,147,g
P-22054,TP - DESSERT PIE CHERRY,1,slice,BAKING-RAW INGREDIENTS,180,g
P-22057,TP - DESSERT PIE LEMON MERINGE,1,slice,BAKING-RAW INGREDIENTS,146,g
P-22058,TP - DESSERT PIE PECAN,1,slice,BAKING-RAW INGREDIENTS,122,g
P-22059,TP - DESSERT PIE PUMPKIN,1,slice,BAKING-RAW INGREDIENTS,133,g
P-22060,TP - DESSERT PIE STRAW RHUBARB,1,slice,BAKING-RAW INGREDIENTS,150,g
P-13445,WES-Watermelon Yield,6,piece,,1716,g
P-71329,YIELD|Breaded Chicken Burger,44,each,,6688,g
P-62067,YIELD|Gluten Free white loaf,12,slice,,300,g
P-70682,YIELD|Hot dog Plant Based,60,each,,8580,g
P-64994,YIELD|Marble Rye Sandwich,15,slice,,480,g
P-71666,YIELD|White Clubhouse Bread,20,slice,,740,g
